Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C185 Postcode 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
0800,0800,71000,Darwin (C),0.9903047,99.0304684,,,,,,,
0800,0800,79399,Unincorporated NT,0.0096953,0.9695316,,,,,,,
0810,0810,71000,Darwin (C),1.0,100.0,,,,,,,
0812,0812,71000,Darwin (C),1.0,100.0,,,,,,,
0820,0820,71000,Darwin (C),0.9999998,99.9999841,,,,,,,
0822,0822,70540,Belyuen (S),0.0073459,0.7345886,,,,,,,
0822,0822,70700,Coomalie (S),0.0173527,1.7352672,,,,,,,
0822,0822,71000,Darwin (C),0.000245,0.0244974,,,,,,,
0822,0822,71300,East Arnhem (S),0.2868828,28.6882819,,,,,,,
0822,0822,72200,Katherine (T),0.0004489,0.0448944,,,,,,,
0822,0822,72300,Litchfield (M),0.1435183,14.3518332,,,,,,,
0822,0822,73600,Roper Gulf (S),0.0279954,2.7995409,,,,,,,
0822,0822,74050,Tiwi Islands (S),0.104904,10.4903966,,,,,,,
0822,0822,74500,Victoria-Daly (S),0.1501763,15.0176268,,,,,,,
0822,0822,74560,Wagait (S),0.0150999,1.5099922,,,,,,,
0822,0822,74660,West Arnhem (S),0.2073129,20.7312893,,,,,,,
0822,0822,79399,Unincorporated NT,0.0387179,3.8717916,,,,,,,
0828,0828,71000,Darwin (C),0.2902169,29.0216937,,,,,,,
0828,0828,72300,Litchfield (M),0.2777261,27.7726101,,,,,,,
0828,0828,79399,Unincorporated NT,0.432057,43.2056961,,,,,,,
0829,0829,72300,Litchfield (M),0.9346851,93.4685098,,,,,,,
0829,0829,72800,Palmerston (C),0.0653149,6.5314877,,,,,,,
0830,0830,72300,Litchfield (M),0.0002039,0.0203913,,,,,,,
0830,0830,72800,Palmerston (C),0.9997946,99.9794621,,,,,,,
0832,0832,72300,Litchfield (M),0.00078,0.0780012,,,,,,,
0832,0832,72800,Palmerston (C),0.99922,99.9219988,,,,,,,
0835,0835,72300,Litchfield (M),1.0,100.0,,,,,,,
0836,0836,72300,Litchfield (M),1.0,100.0,,,,,,,
0837,0837,72300,Litchfield (M),1.0,100.0,,,,,,,
0838,0838,72300,Litchfield (M),1.0,100.0,,,,,,,
0840,0840,79399,Unincorporated NT,0.9990751,99.9075127,,,,,,,
0841,0841,72300,Litchfield (M),1.0,100.0,,,,,,,
0845,0845,70700,Coomalie (S),1.0,100.0,,,,,,,
0846,0846,70700,Coomalie (S),1.0,100.0,,,,,,,
0847,0847,74500,Victoria-Daly (S),1.0,100.0,,,,,,,
0850,0850,72200,Katherine (T),0.9968358,99.6835779,,,,,,,
0850,0850,73600,Roper Gulf (S),0.0031642,0.3164221,,,,,,,
0852,0852,53920,Halls Creek (S),0.0004717,0.0471657,,,,,,,
0852,0852,59340,Wyndham-East Kimberley (S),0.0001942,0.0194177,,,,,,,
0852,0852,70420,Barkly (S),0.0251289,2.5128864,,,,,,,
0852,0852,70620,Central Desert (S),0.0823861,8.2386118,,,,,,,
0852,0852,72200,Katherine (T),0.1085168,10.8516825,,,,,,,
0852,0852,73600,Roper Gulf (S),0.5523587,55.2358666,,,,,,,
0852,0852,74500,Victoria-Daly (S),0.2309437,23.0943688,,,,,,,
0853,0853,72200,Katherine (T),1.0,100.0,,,,,,,
0854,0854,73600,Roper Gulf (S),1.0,100.0,,,,,,,
0860,0860,70420,Barkly (S),1.0,100.0,,,,,,,
0862,0862,70420,Barkly (S),0.9129339,91.2933904,,,,,,,
0862,0862,73600,Roper Gulf (S),0.0870661,8.7066096,,,,,,,
0870,0870,70200,Alice Springs (T),1.0,100.0,,,,,,,
0872,0872,40250,Anangu Pitjantjatjara (AC),0.1157318,11.5731833,,,,,,,
0872,0872,53220,East Pilbara (S),0.0200639,2.0063912,,,,,,,
0872,0872,56620,Ngaanyatjarraku (S),0.0626809,6.2680866,,,,,,,
0872,0872,70420,Barkly (S),0.1574108,15.7410806,,,,,,,
0872,0872,70620,Central Desert (S),0.2014449,20.1444902,,,,,,,
0872,0872,72330,MacDonnell (S),0.3843322,38.433221,,,,,,,
0872,0872,79399,Unincorporated NT,0.0583355,5.8335456,,,,,,,
0880,0880,71300,East Arnhem (S),0.3305265,33.0526524,,,,,,,
0880,0880,79399,Unincorporated NT,0.6694735,66.9473476,,,,,,,
0885,0885,79399,Unincorporated NT,1.0,100.0,,,,,,,
0886,0886,74660,West Arnhem (S),1.0,100.0,,,,,,,
0909,0909,71000,Darwin (C),1.0,100.0,,,,,,,
2000,2000,17200,Sydney (C),1.0,100.0,,,,,,,
2006,2006,17200,Sydney (C),1.0,100.0,,,,,,,
2007,2007,17200,Sydney (C),1.0,100.0,,,,,,,
2008,2008,17200,Sydney (C),1.0,100.0,,,,,,,
